xi,tau,p_out,inv_s,err_inv_s,inv_f,err_inv_f,eff,err_eff
8.639329538320616564e+00,3.402201094705418517e-03,3.333333333333333547e-03,3.902361347884042756e-07,4.797435779706322686e-04,1.255652395721826975e-06,5.397679962898454392e-03,1.566551746924549349e-03,5.015367867242382684e-03
8.750346535038735851e+01,3.380550077916727719e-03,3.333333333333333547e-03,3.651254574381088650e-07,2.749262858649450476e-05,1.255385369423005557e-06,6.923052812756037670e-03,1.991142942371793012e-03,1.078713365870630258e-03
3.211104288195086587e-02,5.580495917208505574e-02,3.333333333333333547e-03,4.518135769237091975e-07,1.148852681128573232e-04,1.254207286801133245e-06,1.593195804663994014e-03,3.864049494377463922e-03,9.760762519507444309e-04
3.228967228989643723e-01,5.565038603910548581e-02,3.333333333333333547e-03,4.348993542658539389e-07,2.218475800745673245e-04,1.250199132574244649e-06,4.245541832998470794e-03,1.022354226399679877e-02,1.538162738380784720e-03
3.253310294169263095e+00,5.544179163329324145e-02,3.333333333333333547e-03,4.038098564786352579e-07,1.193964239133688243e-04,1.243547679648808483e-06,8.742007594754878583e-03,2.072996865892573481e-02,1.262581104902365907e-03
3.268109347795930120e+01,5.531612004070440153e-02,3.333333333333333547e-03,3.733297118827167834e-07,1.924003081732699781e-05,1.237905434221695051e-06,1.267812675642248851e-02,2.959136730803046955e-02,8.555769327542639999e-05
1.269207707618588872e-02,8.876334286762154191e-01,3.333333333333333547e-03,4.528547202302232417e-07,7.903515314104130925e-06,1.231914884258739561e-06,2.112591118490446656e-03,3.902895284630081285e-02,4.470899768358751157e-04
1.269330797355875118e-01,8.875903897715193835e-01,3.333333333333333547e-03,4.373281881807627641e-07,9.695490110371122745e-05,1.189001008301940164e-06,5.916196307900231655e-03,1.051011262315005856e-01,8.778421326366821166e-04
1.250359812238744039e+00,8.942984884445085436e-01,3.333333333333333547e-03,4.072916902400003061e-07,6.062417870318021276e-04,1.109744082891590236e-06,1.294663948259131003e-02,2.202906536485184086e-01,4.584064370373845849e-03
1.197500469745187601e+01,9.138231455365114497e-01,3.333333333333333547e-03,3.758467806280693583e-07,1.308702684281385807e-03,1.029848466192057013e-06,1.717639779937769201e-02,3.256117635895408036e-01,1.849666288424471616e-02
8.178720022369842524e-02,3.496691592079255971e-03,5.000000000000000104e-03,4.950189571980163680e-07,5.518934520858961943e-04,1.256476459588359678e-06,8.700345930775143979e-04,2.555865160356329824e-04,5.459042201135821427e-03
8.384027805808254019e-01,3.453612797967374470e-03,5.000000000000000104e-03,4.795031885619523053e-07,7.444435039698738769e-04,1.256244179618190053e-06,2.130676523253905667e-03,6.251699294383961103e-04,7.604174727465157560e-03
8.626257246013661728e+00,3.404777978828741909e-03,5.000000000000000104e-03,4.565088802083764212e-07,2.983495248579751146e-04,1.255933699862745059e-06,3.847179531333905743e-03,1.119027057479238252e-03,5.181473944030334615e-03
8.744412085438446525e+01,3.381696999017148961e-03,5.000000000000000104e-03,4.388937125843958765e-07,2.062923345816547363e-05,1.255719071895577612e-06,5.064564201568872402e-03,1.460316876471745573e-03,1.283693954254087020e-03
3.209252751704336909e-02,5.582105482231450311e-02,5.000000000000000104e-03,4.983227853962338823e-07,7.432073487119520696e-05,1.254952394647190929e-06,1.103367120840325656e-03,2.679133317985749052e-03,1.022827101901053375e-03
3.227888680745411576e-01,5.565968261329159311e-02,5.000000000000000104e-03,4.867969013162738700e-07,1.364647631777046125e-04,1.252158612280777080e-06,2.944858191896611733e-03,7.112261175836742666e-03,1.542387989215520793e-03
3.251949055613875483e+00,5.545339415334935018e-02,5.000000000000000104e-03,4.657672128523843086e-07,7.379521944056312668e-05,1.247391889616421264e-06,6.138700829797216589e-03,1.464461970934427537e-02,1.285852735318318910e-03
3.267269598423298049e+01,5.532322822252833117e-02,5.000000000000000104e-03,4.447309335308182721e-07,1.001214463030766919e-05,1.243036356871631798e-06,9.132700827573520669e-03,2.149031939612588982e-02,1.475343420725765099e-04
1.268141299311621208e-02,8.880065656231926896e-01,5.000000000000000104e-03,4.990382343226227795e-07,7.776149792891499807e-06,1.239498834824965999e-06,1.454373036303101057e-03,2.705827221463785737e-02,4.706681803753759723e-04
1.269092041465322285e-01,8.876738775962382810e-01,5.000000000000000104e-03,4.884503407515279961e-07,5.899165706467541961e-05,1.209640199907080229e-06,4.035328325759005193e-03,7.307345215914251568e-02,8.718709891982372780e-04
1.252462924946482037e+00,8.935473281916629373e-01,5.000000000000000104e-03,4.681413695766338765e-07,3.288935804475765293e-04,1.153350621673184693e-06,8.790774967879241494e-03,1.553043430912355305e-01,4.107948168042743937e-03
1.203575430956197501e+01,9.115139994375466292e-01,5.000000000000000104e-03,4.465000800983425967e-07,7.180140104249923584e-04,1.093083561820688467e-06,1.199168142409116379e-02,2.357767894812365927e-01,1.668268486857134650e-02
