zeta,tau,p_out,inv_s,err_inv_s,inv_f,err_inv_f,eff,err_eff
2.095625868096631650e-02,3.084187959545458657e+00,3.333333333333332860e+01,4.557636527101428803e-02,6.461405671277556362e-05,6.200873602448505120e-04,5.997475585109150091e-04,2.592708929162080081e-02,1.162494926155372211e-06
9.696951744060824940e-02,3.093755727759947227e+00,3.333333333333332860e+01,4.385976904808463334e-02,2.794984800050051305e-04,5.951017224353814892e-04,2.383758575870070957e-03,1.011286638175837721e-01,1.049224080936897018e-03
1.859779599449089531e-03,5.376981230981469490e-02,4.999999999999999289e+01,5.048682505182414820e-02,3.766638281843125077e-06,6.283093465926308614e-04,1.251877425036760963e-05,2.923349232974582537e-05,2.511222258386306208e-02
8.632914340117826477e-03,5.376618660563978885e-02,4.999999999999999289e+01,5.043280863665105390e-02,1.733023648074687880e-05,6.282761931307983411e-04,5.773361749716654284e-05,1.347543901590916437e-04,6.163125769009061058e-04
4.008261853221775639e-02,5.374984891019995298e-02,4.999999999999999289e+01,5.019144981739564332e-02,7.725095783837559820e-05,6.281280614691311503e-04,2.602194052226582273e-04,6.060732117667478507e-04,5.048161683611142314e-03
1.862731759349946226e-01,5.368459494935427095e-02,4.999999999999999289e+01,4.924132006563047836e-02,2.985871170194077332e-04,6.275450401837746797e-04,1.065049960751446919e-03,2.458642548029200178e-03,8.504666892483175172e-03
9.000027664275966552e-03,3.452469949939673821e-02,4.999999999999999289e+01,5.043056960641639774e-02,1.164886669688332526e-03,6.282901974164149111e-04,1.404604788642834893e-05,9.018307118391907047e-05,3.323032735237841815e-04
2.585536083215842981e-02,5.578145204276443309e-02,4.999999999999999289e+01,5.029855987969699543e-02,2.896018406370857740e-03,6.281892273090881364e-04,6.719481406765536152e-05,4.114891149057684026e-04,1.887557891577024138e-02
2.770966349974413392e-02,2.415882639961879075e-01,4.999999999999999289e+01,5.026530561827742549e-02,4.734364763852080132e-04,6.277204588535884944e-04,2.835451129594584205e-04,1.901657359042213885e-03,1.620354510968023383e-03
7.827448698667903437e-02,3.969661923792167646e-01,4.999999999999999289e+01,4.982803419211799534e-02,8.188090131319498977e-03,6.256922450104902616e-04,9.567643306645576143e-04,8.319769532598698947e-03,5.762945716813895614e-02
1.128525081154397669e-03,8.555320574869335060e-01,4.999999999999999289e+01,5.048915955760542584e-02,3.832949814307903929e-06,6.282298197625356363e-04,1.577907305145321177e-05,2.823303613031422055e-04,2.599080089372255830e-03
5.238954753248260300e-03,8.554005441216300243e-01,4.999999999999999289e+01,5.044349535783420463e-02,1.748967473923632090e-05,6.279089316870864685e-04,7.280180013235449331e-05,1.302826198740139564e-03,2.179749275644588728e-04
2.433326642589907565e-02,8.548313188392848705e-01,4.999999999999999289e+01,5.023801975909841788e-02,7.516151999186778234e-05,6.264625903346669397e-04,3.288130162178249456e-04,5.887715171556909266e-03,6.406876456988859882e-05
1.131967098858523701e-01,8.529306068870998736e-01,4.999999999999999289e+01,4.940638474979010264e-02,2.556128744240219108e-04,6.205637496724143980e-04,1.358003125849946121e-03,2.433254678955721478e-02,1.286381166875829631e-03
9.721927184025338370e-04,3.085807930067080207e+00,4.999999999999999289e+01,5.048242348201510687e-02,2.120653435292523299e-06,6.280430287743274343e-04,2.010796560929028294e-05,8.765120928812597306e-04,7.222828285376198948e-04
4.513156866937541659e-03,3.085371705745103554e+00,4.999999999999999289e+01,5.041260280201791816e-02,9.610908095081486261e-06,6.270488718841990116e-04,9.256801384179945012e-05,4.032133907897910742e-03,2.212010428470376840e-05
2.095625873012630508e-02,3.084187952310453618e+00,4.999999999999999289e+01,5.010233106813966053e-02,4.073116115700574987e-05,6.226143888751736657e-04,4.138568971935341909e-04,1.796728610751079092e-02,1.632310681778615256e-05
9.696951749439160217e-02,3.093755726044020715e+00,4.999999999999999289e+01,4.891274225155908817e-02,1.736626740436880711e-04,6.052995218627918103e-04,1.622863762718011575e-03,7.008143552293467915e-02,1.053118863665533644e-03
